epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.8001,1.04454,5.6433,0.01718,0.46652,0.33366,0.27325,0.19152,1.00527,2.71262,0.02011,0.000296413,0.000296413,0.000296413
2,89.0789,0.97844,2.1237,0.01578,0.63802,0.39092,0.45546,0.28695,1.09821,1.68856,0.02279,0.000593479,0.000593479,0.000593479
3,120.321,1.02439,1.62272,0.01658,0.50493,0.46568,0.50084,0.32172,1.16124,1.66837,0.02392,0.000884545,0.000884545,0.000884545
4,151.937,1.043,1.41496,0.0168,0.60021,0.46887,0.57869,0.39039,1.11353,1.29654,0.02289,0.000882003,0.000882003,0.000882003
5,183.761,1.03366,1.32506,0.01641,0.65076,0.67705,0.66741,0.43937,1.06889,1.16046,0.02256,0.000873004,0.000873004,0.000873004
6,215.786,1.01807,1.24772,0.01656,0.70469,0.68248,0.72122,0.49099,0.99718,1.01785,0.02017,0.000864004,0.000864004,0.000864004
7,248.014,0.99588,1.18198,0.01596,0.58971,0.52656,0.55778,0.36639,1.1331,1.50745,0.02397,0.000855005,0.000855005,0.000855005
8,280.385,0.99515,1.12983,0.0158,0.6103,0.65445,0.66644,0.46931,0.9466,1.03772,0.01877,0.000846006,0.000846006,0.000846006
9,313.044,0.9467,1.06904,0.01517,0.71936,0.64541,0.70124,0.49442,1.06467,1.11761,0.02236,0.000837007,0.000837007,0.000837007
10,345.897,0.94538,1.06994,0.01529,0.69972,0.686,0.72911,0.50288,0.99698,1.03841,0.02035,0.000828008,0.000828008,0.000828008
11,378.925,0.9094,0.99854,0.01456,0.72625,0.74895,0.78938,0.55632,0.93535,0.8687,0.01893,0.000819009,0.000819009,0.000819009
12,412.097,0.92607,0.972,0.01476,0.75245,0.70036,0.77711,0.53121,0.94831,0.85649,0.01914,0.00081001,0.00081001,0.00081001
13,445.281,0.87047,0.90492,0.01353,0.74415,0.74147,0.74952,0.56147,0.85335,0.85027,0.01673,0.000801011,0.000801011,0.000801011
14,478.658,0.88881,0.94003,0.01398,0.83469,0.69148,0.79147,0.58861,0.84886,0.82534,0.01685,0.000792012,0.000792012,0.000792012
15,511.956,0.86519,0.8811,0.01338,0.82344,0.76594,0.83931,0.58951,0.87556,0.78751,0.01653,0.000783013,0.000783013,0.000783013
16,545.175,0.86739,0.87782,0.01346,0.76308,0.76793,0.80955,0.58614,0.88754,0.85532,0.01712,0.000774013,0.000774013,0.000774013
17,578.364,0.84856,0.86321,0.01307,0.77407,0.77696,0.8254,0.62797,0.78852,0.78096,0.01517,0.000765014,0.000765014,0.000765014
18,611.781,0.82556,0.82074,0.01302,0.75695,0.73578,0.79858,0.59196,0.82124,0.83197,0.01638,0.000756015,0.000756015,0.000756015
19,644.932,0.84573,0.82962,0.0135,0.80326,0.74713,0.82223,0.62085,0.81735,0.75706,0.01579,0.000747016,0.000747016,0.000747016
20,678.283,0.83125,0.78747,0.01332,0.81268,0.64725,0.74813,0.54595,0.83776,0.81875,0.01738,0.000738017,0.000738017,0.000738017
21,711.739,0.82834,0.7857,0.01313,0.80669,0.79811,0.8662,0.62876,0.81812,0.72984,0.01574,0.000729018,0.000729018,0.000729018
22,745.255,0.79386,0.76515,0.01216,0.86422,0.73022,0.81678,0.62245,0.79952,0.72452,0.01567,0.000720019,0.000720019,0.000720019
23,778.68,0.80171,0.79291,0.01262,0.86531,0.78544,0.86373,0.64375,0.82424,0.70555,0.0161,0.00071102,0.00071102,0.00071102
24,812.057,0.79954,0.76098,0.01251,0.83403,0.7716,0.82198,0.6289,0.79791,0.76531,0.01559,0.000702021,0.000702021,0.000702021
25,845.488,0.79135,0.75221,0.01206,0.8105,0.78124,0.82191,0.63677,0.76934,0.68766,0.01482,0.000693022,0.000693022,0.000693022
26,878.913,0.78935,0.74935,0.01228,0.76112,0.8157,0.83922,0.64321,0.76788,0.70539,0.01472,0.000684022,0.000684022,0.000684022
27,912.387,0.77818,0.73077,0.01173,0.81733,0.80614,0.86615,0.6515,0.78406,0.67773,0.01498,0.000675023,0.000675023,0.000675023
28,945.975,0.77402,0.71417,0.01196,0.76756,0.77123,0.80939,0.63724,0.76763,0.73505,0.01424,0.000666024,0.000666024,0.000666024
29,979.346,0.75188,0.70963,0.01127,0.84193,0.77319,0.85856,0.65489,0.76126,0.6963,0.01426,0.000657025,0.000657025,0.000657025
30,1012.96,0.76544,0.69688,0.01202,0.89677,0.81248,0.88421,0.65789,0.76193,0.66311,0.01447,0.000648026,0.000648026,0.000648026
31,1046.5,0.75126,0.69867,0.01156,0.84087,0.82028,0.86742,0.6651,0.74162,0.627,0.014,0.000639027,0.000639027,0.000639027
32,1080.06,0.7537,0.69924,0.01134,0.78159,0.83878,0.8643,0.65623,0.7698,0.73189,0.01447,0.000630028,0.000630028,0.000630028
33,1113.66,0.75222,0.68957,0.01118,0.85741,0.8199,0.88024,0.69338,0.72653,0.63272,0.01339,0.000621029,0.000621029,0.000621029
